run,path,n,success,cc_checks,num_samples,time,memory,t_sample_cnt,jvm
prm_run_1,0,2,True,4870,98,9.609167575836182,34.58252799999991,89,0.3305490067388873
prm_run_1,1,2,True,4647,96,8.395513534545898,35.28294400000004,90,0.14915049857354634
prm_run_1,2,3,True,3756,96,7.016181230545044,24.768511999999646,51,6.284899793418145
prm_run_1,3,3,True,3634,100,6.617417812347412,26.808320000000094,60,1.2837084210877958
prm_run_1,4,2,True,1919,94,3.5382678508758545,16.527360000000044,54,0.03137049876547532
prm_run_1,5,2,True,1964,96,3.793391227722168,14.172160000000076,36,0.030014684194572826
prm_run_1,6,3,True,3478,98,6.027634143829346,25.804799999999886,91,0.5900089183616885
prm_run_1,7,2,True,1979,96,3.855848550796509,18.288640000000214,32,0.021546523085890827
prm_run_1,8,2,True,1944,98,3.468992233276367,17.092607999999927,58,2.6961232875973713
prm_run_1,9,2,True,2144,94,3.752220630645752,-15.179775999999947,69,0.02708477589446604
prm_run_1,10,2,True,2070,90,3.583888530731201,12.406783999999789,67,0.026366088335397914
prm_run_1,11,5,True,3446,92,5.564650297164917,22.147072000000207,102,20.535024895031356
prm_run_1,12,2,True,1969,90,3.7541372776031494,12.140543999999863,37,0.02143136963936243
prm_run_1,13,3,True,2385,90,3.328252077102661,12.890112000000045,123,20.426101066639397
prm_run_2,0,3,True,29292,906,50.4272723197937,188.81331200000022,814,0.071913214957757
prm_run_2,1,3,True,29499,916,50.75580334663391,186.78579199999967,819,0.07306672924777124
prm_run_2,2,3,True,30475,906,56.632739305496216,206.33190400000012,581,0.08450199038429031
prm_run_2,3,2,True,30704,910,57.297669410705566,212.03763200000003,592,0.12888794519288568
prm_run_2,4,2,True,17179,904,31.07781744003296,116.26495999999952,499,0.0195402314419532
prm_run_2,5,2,True,18087,904,35.02975130081177,127.84435200000007,299,0.02020280251361184
prm_run_2,6,3,True,26104,900,47.138885498046875,209.5144960000007,720,0.08889434889501881
prm_run_2,7,2,True,18233,904,35.79253029823303,126.27148799999941,294,0.01873395634749271
prm_run_2,8,2,True,17775,902,32.9000506401062,123.55583999999999,518,0.01924877503350807
prm_run_2,9,2,True,20541,900,34.03851270675659,98.23027199999979,772,0.010617580155165084
prm_run_2,10,2,True,19972,900,36.867414474487305,132.554752,456,0.013235213186642076
prm_run_2,11,3,True,30151,900,48.245919942855835,175.82080000000042,1020,0.09992728052173216
prm_run_2,12,2,True,19759,900,38.12832736968994,132.7022079999997,453,0.02112663965260534
prm_run_2,13,2,True,20698,900,33.90488600730896,122.89638400000058,855,0.009194055452135995
grid_run_1,0,15,True,27852,754,12.31749153137207,75.66131200000018,73,0.07820936393905539
grid_run_1,1,15,True,27828,754,12.832108974456787,78.13939199999913,72,0.06970991257418217
grid_run_1,2,15,True,11184,786,8.141104221343994,47.173632,33,0.07906771659363163
grid_run_1,3,15,True,8752,798,6.284054756164551,38.47782400000051,30,0.10070338351363314
grid_run_1,4,5,True,4496,258,2.7713348865509033,14.102528000000348,27,0.003987292558518036
grid_run_1,5,5,True,3636,254,2.66839337348938,17.403903999999784,12,0.004962255134127369
grid_run_1,6,15,True,38888,756,17.908602237701416,106.52057599999989,44,0.0486096632574079
grid_run_1,7,5,True,3348,252,2.6350386142730713,15.237119999999777,10,0.004584637459899648
grid_run_1,8,5,True,4692,254,3.037734270095825,16.44953600000008,12,0.00409659863696131
grid_run_1,9,5,True,6232,256,3.3700695037841797,20.738048000000163,44,0.005126052831516424
grid_run_1,10,5,True,3960,258,2.7100417613983154,18.1739520000001,10,0.005387210666981572
grid_run_1,11,15,True,21908,760,9.437613725662231,54.96012799999971,28,0.15130964444239436
grid_run_1,12,5,True,4028,260,2.742741346359253,16.17510399999992,10,0.004994916898945744
grid_run_1,13,5,True,5268,282,2.8970425128936768,17.637376000000586,9,0.005704872811334708
